run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
3,NL0 19 0 solar,legacy,NL0 19,2,0.0,48541.9658340839,48541.965834083836
3,NL0 2 0 solar,legacy,NL0 2,2,0.0,48541.9658340839,48541.965834083836
3,NL0 20 0 solar,legacy,NL0 20,1,0.0,59329.069352818755,59329.06935281868
3,NL0 21 0 solar,legacy,NL0 21,1,0.0,59329.069352818755,59329.06935281868
3,NL0 22 0 solar,legacy,NL0 22,3,0.0,53935.51759344085,53935.517593440774
3,NL0 23 0 solar,legacy,NL0 23,1,0.0,59329.069352818755,59329.06935281868
3,NL0 24 0 solar,legacy,NL0 24,1,0.0,59329.069352818755,59329.06935281868
3,NL0 25 0 solar,legacy,NL0 25,2,0.0,48541.9658340839,48541.965834083836
3,NL0 26 0 solar,legacy,NL0 26,2,0.0,48541.9658340839,48541.965834083836
3,NL0 27 0 solar,legacy,NL0 27,1,0.0,59329.069352818755,59329.06935281868
3,NL0 28 0 solar,legacy,NL0 28,2,0.0,48541.9658340839,48541.965834083836
3,NL0 3 0 solar,legacy,NL0 3,1,0.0,59329.069352818755,59329.06935281868
3,NL0 30 0 solar,legacy,NL0 30,1,0.0,59329.069352818755,59329.06935281868
3,NL0 31 0 solar,legacy,NL0 31,2,0.0,48541.9658340839,48541.965834083836
3,NL0 4 0 solar,legacy,NL0 4,2,0.0,48541.9658340839,48541.965834083836
3,NL0 5 0 solar,legacy,NL0 5,3,0.0,53935.51759344085,53935.517593440774
3,NL0 6 0 solar,legacy,NL0 6,3,0.0,53935.51759344085,53935.517593440774
3,NL0 7 0 solar,legacy,NL0 7,3,0.0,53935.51759344085,53935.517593440774
3,NL0 8 0 solar,legacy,NL0 8,1,0.0,59329.069352818755,59329.06935281868
