run_id,weight_type,rd_cost_econ,curtailment,capacity_market_cost,cm_plus_redispatch_cost,grid_load_shedding_cost,total_cost,scenario,case_study,design,sigma,design_order,design_label
43,ptdf_pos,-3813563.982907072,79314.23958922243,917883815.4241096,914070251.4412025,5472682531.656347,6386752783.097549,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
44,ptdf_neg,65288.71698963689,0.0,917883815.4241096,917949104.1410992,0.0,917949104.1410992,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
45,ptdf_pos,9595.74913897831,0.0,917883815.4241096,917893411.1732485,0.0,917893411.1732485,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
46,ptdf_neg,-1.4901161193847656e-08,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
47,ptdf_pos,119303.81420737693,0.0,917883815.4241096,918003119.238317,0.0,918003119.238317,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
48,ptdf_neg,-4137403.176293507,86049.42470209861,917883815.4241096,913746412.2478161,5937410304.444804,6851156716.69262,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
49,ptdf_pos,-3748963.746512741,77970.68834481653,917883815.4241096,914134851.6775968,5379977495.79234,6294112347.469937,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
50,ptdf_neg,-1.164153218269348e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
51,ptdf_pos,23884.012347891345,0.0,917883815.4241096,917907699.4364575,0.0,917907699.4364575,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
52,ptdf_neg,-3752615.010804318,78046.62708875292,917883815.4241096,914131200.4133053,5385217269.123952,6299348469.537257,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
53,ptdf_pos,10050.71466027177,0.0,917883815.4241096,917893866.1387699,0.0,917893866.1387699,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
54,ptdf_neg,-1.1175870895385742e-08,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
55,ptdf_pos,-7381042.550419554,153510.41175084808,917883815.4241096,910502772.87369,10592218410.808517,11502721183.682207,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
56,ptdf_neg,23945.70172848506,0.0,917883815.4241096,917907761.125838,0.0,917907761.125838,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
57,ptdf_pos,19320.055523495656,0.0,917883815.4241096,917903135.4796331,0.0,917903135.4796331,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
