scenario,case_study,sigma,zone,bus,change_min_mw,change_max_mw,change_class
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 20,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 21,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 23,-601.5467025248663,12.460360676254027,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 24,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 27,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 3,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 30,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 33,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 8,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 12,-45.54662282742726,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 14,-280.94633040315966,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 15,-259.2418572201957,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 19,-252.97924874998478,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 2,0.0,609.9811467476056,Gains in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 25,-273.08631742918874,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 26,-72.38192364722792,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 28,-19.92765222735966,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 31,0.0,609.9811467476056,Gains in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 4,-157.99506782968217,609.9811467476056,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 1,-1000.0,686.623756129437,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 11,-448.8467002481598,1000.0,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 13,-1000.0,1000.0,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 22,-554.5994215138542,573.575031566711,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 5,-486.00543189474456,519.551439535222,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 6,-793.5798664064088,1000.0,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 7,-573.5750315666992,46.05727256554769,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 9,-321.89524584095943,0.5175184414385967,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 0,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 10,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 16,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 17,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 18,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 20,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 21,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 23,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 24,-1000.0,0.0,Loses in some paired runs
