scenario,case_study,design,run_id,total_new_capacity_mw,largest_node_mw,active_nodes,node_hhi,largest_zone_share,largest_node_share
cs2_nl34_z3_sigma0,Case Study 2,Split,64,2400.1047541590287,914.521503348358,7,0.22829041222519553,1.0,0.3810339951885961
cs2_nl34_z3_sigma0,Case Study 2,Split,65,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,66,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,67,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,68,2400.1047541589955,1000.0,3,0.37498181629214083,1.0,0.41664848097449114
cs2_nl34_z3_sigma0,Case Study 2,Split,69,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,70,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,71,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,72,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,73,2400.104754158996,1000.0,3,0.37498181629214083,1.0,0.4166484809744911
cs2_nl34_z3_sigma0,Case Study 2,Split,74,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,75,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,76,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,77,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,78,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,79,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,80,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
nl34_z1_sigma0,Case Study 1,Country-wide,1,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,2,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,3,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,4,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,5,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,6,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,7,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,8,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,9,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,10,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,11,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,12,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
