scenario,case_study,design,sigma,line,bus,ptdf,ptdf_side,capacity_min_mw,capacity_max_mw,rho_investment_total_overload,rho_investment_maximum_overload,rho_investment_redispatch,rho_investment_grid_shedding,runs
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 2,0.2338244393894311,positive,0.0,1000.0,-0.8362932046403357,-0.8401504549904568,-0.7909173712639489,-0.8555349079817428,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 25,0.2674852916627749,positive,0.0,1000.0,-0.4375269806957738,-0.42600978554856805,-0.6011353829754446,-0.6274997995808176,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 26,-0.2568178633758781,negative,0.0,1000.0,0.41244537325171443,0.40483088264131295,0.6172617350519106,0.6820824037641776,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 28,0.5315626726964169,positive,0.0,1000.0,0.8827758557867047,0.8743986104812862,0.7807593095554638,0.8018097195368724,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 31,0.2745496521811301,positive,0.0,1000.0,0.16117546262918098,0.17540155879172944,0.004183422658404626,-0.12512400266494994,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 12,-0.3803812325533696,negative,0.0,1000.0,0.7184984627625581,0.7014208851892924,0.10890456110034429,-0.013432574445247451,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 14,-0.2363562655801373,negative,0.0,1000.0,-0.24563629062714218,-0.1624235117390871,0.7442672976838531,0.8272080434603806,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 19,-0.246483307049037,negative,0.0,1000.0,0.09866018257491677,0.015535407107045379,-0.7323319779566079,-0.7736097907119199,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 2,-0.2140445489169543,negative,0.0,1000.0,-0.07020318833777084,-0.15259673931079454,-0.7909173712639489,-0.8555349079817428,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 25,-0.5462474063364559,negative,0.0,1000.0,0.4075356541848368,0.32718879566453146,-0.6011353829754446,-0.6274997995808176,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 26,-0.1501990200092376,negative,0.0,1000.0,-0.35418986373859807,-0.27839300263135425,0.6172617350519106,0.6820824037641776,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 28,-0.2739639157957153,negative,0.0,1000.0,0.21705210076964074,0.2891296014974843,0.7807593095554638,0.8018097195368724,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,NL0 31,-0.2725526290146342,negative,0.0,1000.0,0.6234218942648425,0.6063625041490807,0.004183422658404626,-0.12512400266494994,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 1,0.5863925659267386,positive,0.0,1000.0,0.5498147664326737,0.5411839624083901,0.3263140652524423,0.21783879013004556,80
