run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
13,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
13,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
14,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
14,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
14,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
15,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
15,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
15,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
16,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
16,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
16,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
17,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
17,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
17,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
18,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
18,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
18,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
19,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
19,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
19,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
